number,name,geo
541,Ibis,POINT (-0.3671005 51.4673059)
542,Batty Langley's 1724,POINT (-0.077969 51.520953)
543,,POINT (-0.1238463 51.5218529)
544,YOTEL London City,POINT (-0.1045591 51.522615)
545,The Trafalgar St. James,POINT (-0.1291266 51.5073732)
546,Premier Inn London Paddington Basin,POINT (-0.1738102 51.5195441)
547,The Jesmond Dene,POINT (-0.123269 51.528941)
548,,POINT (0.0387685 51.5083728)
549,,POINT (0.0057233 51.5372875)
550,Residence Inn,POINT (-0.081608 51.4986996)
551,,POINT (-0.1877218 51.460552)
552,TRIBE,POINT (-0.0128065 51.5030338)
553,,POINT (-0.1871803 51.5104788)
554,,POINT (-0.3297258 51.4498126)
555,,POINT (-0.00426 51.5066285)
556,Art 'otel,POINT (-0.1452803 51.4804694)
557,Premier Inn,POINT (-0.0264235 51.509623)
558,Pickwick Hall Hostel,POINT (-0.1238463 51.5200303)
559,,POINT (0.0202524 51.5081997)
560,,POINT (-0.0073287 51.5426142)
561,Travelodge Greenwich High Road,POINT (-0.0151734 51.4773691)
562,,POINT (-0.1205244 51.5106922)
563,Staycity Aparthotels,POINT (-0.0185291 51.4761373)
564,,POINT (-0.0141081 51.477743)
565,Raya hotel Victoria,POINT (-0.1181444 51.5028523)
566,,POINT (0.0097695 51.4685892)
567,The Hoxton Hotel,POINT (-0.1047575 51.5058441)
568,Travelodge,POINT (0.0732399 51.5573261)
569,Sonder St. John's Garden,POINT (-0.1019057 51.522778)
570,Croft Court Hotel,POINT (-0.2014161 51.5759182)
571,,POINT (-0.2035437 51.5074894)
572,Queen's Drive Hotel,POINT (-0.1015988 51.5656775)
573,Best Western Highbury,POINT (-0.0993481 51.5678674)
574,Oyo Acton Hill Hotel,POINT (-0.2779355 51.5081885)
575,,POINT (0.0688444 51.5595889)
576,,POINT (0.068313 51.5594282)
577,,POINT (0.067982 51.5596118)
578,Best Western,POINT (0.0698722 51.5604587)
579,,POINT (0.067341 51.5604104)
580,,POINT (0.0668336 51.5620463)
581,Ruby Lucy,POINT (-0.1123214 51.5011609)
582,Zedwell Piccadilly Circus,POINT (-0.1336305 51.5104287)
583,,POINT (-0.1186805 51.4947513)
584,,POINT (0.0406331 51.5041528)
585,The Manna House,POINT (0.0812054 51.5893257)
586,,POINT (-0.1735509 51.5160805)
587,Sonder The Prince,POINT (-0.1183878 51.4913562)
588,The Z Hotel Holborn,POINT (-0.1195495 51.5158365)
589,Travelodge London Lewisham,POINT (-0.0124321 51.4584762)
590,,POINT (-0.1244335 51.5063424)
591,,POINT (-0.1243012 51.506744)
592,,POINT (0.0429344 51.5036052)
593,,POINT (-0.2864861 51.483281)
594,,POINT (-0.0004751 51.5112882)
595,,POINT (-0.025357 51.5071635)
596,,POINT (-0.1782039 51.5119312)
597,King William Hotel,POINT (0.0033546 51.4848704)
598,Park Lane Apartments Crawford Place,POINT (-0.1659723 51.5183901)
599,Ibis Styles,POINT (0.0961576 51.56411)
600,Thistle Piccadilly Hotel,POINT (-0.1315185 51.5102091)
601,London Olympus Hotel Nirvana,POINT (0.007283 51.5425249)
602,London Olympus Hotel,POINT (0.0077716 51.5425834)
603,,POINT (-0.4533755 51.4698857)
